LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Weeks ,Hours WorkedWeekly
ESP,HRWKD,TOT,HR_WKD,A,2019,1686,52,32.60576923
SWE,HRWKD,TOT,HR_WKD,A,2015,1466,52,32.42307692
SWE,HRWKD,TOT,HR_WKD,A,2016,1478,52,28.19230769
SWE,HRWKD,TOT,HR_WKD,A,2017,1467,52,28.42307692
SWE,HRWKD,TOT,HR_WKD,A,2018,1466,52,28.21153846
SWE,HRWKD,TOT,HR_WKD,A,2019,1452,52,28.19230769
CHE,HRWKD,TOT,HR_WKD,A,2015,1589.5,52,27.92307692
CHE,HRWKD,TOT,HR_WKD,A,2016,1590.2,52,30.56730769
CHE,HRWKD,TOT,HR_WKD,A,2017,1569.5,52,30.58076923
CHE,HRWKD,TOT,HR_WKD,A,2018,1561.2,52,30.18269231
CHE,HRWKD,TOT,HR_WKD,A,2019,1556.9,52,30.02307692
GBR,HRWKD,TOT,HR_WKD,A,2015,1527,52,29.94038462
GBR,HRWKD,TOT,HR_WKD,A,2016,1541,52,29.36538462
GBR,HRWKD,TOT,HR_WKD,A,2017,1540,52,29.63461538
GBR,HRWKD,TOT,HR_WKD,A,2018,1535,52,29.61538462
GBR,HRWKD,TOT,HR_WKD,A,2019,1538,52,29.51923077
USA,HRWKD,TOT,HR_WKD,A,2015,1783,52,29.57692308
USA,HRWKD,TOT,HR_WKD,A,2016,1778,52,34.28846154
USA,HRWKD,TOT,HR_WKD,A,2017,1778,52,34.19230769
USA,HRWKD,TOT,HR_WKD,A,2018,1783,52,34.19230769
USA,HRWKD,TOT,HR_WKD,A,2019,1779,52,34.28846154
CHL,HRWKD,TOT,HR_WKD,A,2015,1988,52,34.21153846
CHL,HRWKD,TOT,HR_WKD,A,2016,1974,52,38.23076923
CHL,HRWKD,TOT,HR_WKD,A,2017,1954,52,37.96153846
CHL,HRWKD,TOT,HR_WKD,A,2018,1940.6,52,37.57692308
CHL,HRWKD,TOT,HR_WKD,A,2019,1914.4,52,37.31923077
EST,HRWKD,TOT,HR_WKD,A,2015,1763,52,36.81538462
EST,HRWKD,TOT,HR_WKD,A,2016,1767,52,33.90384615
EST,HRWKD,TOT,HR_WKD,A,2017,1768,52,33.98076923
EST,HRWKD,TOT,HR_WKD,A,2018,1724,52,34
EST,HRWKD,TOT,HR_WKD,A,2019,1711,52,33.15384615
ISR,HRWKD,TOT,HR_WKD,A,2015,1895.4,52,32.90384615
ISR,HRWKD,TOT,HR_WKD,A,2016,1922.1,52,36.45
ISR,HRWKD,TOT,HR_WKD,A,2017,1918,52,36.96346154
ISR,HRWKD,TOT,HR_WKD,A,2018,1910.1,52,36.88461538
ISR,HRWKD,TOT,HR_WKD,A,2019,1898.1,52,36.73269231
RUS,HRWKD,TOT,HR_WKD,A,2015,1978,52,36.50192308
RUS,HRWKD,TOT,HR_WKD,A,2016,1974,52,38.03846154
RUS,HRWKD,TOT,HR_WKD,A,2017,1979,52,37.96153846
RUS,HRWKD,TOT,HR_WKD,A,2018,1970,52,38.05769231
RUS,HRWKD,TOT,HR_WKD,A,2019,1965,52,37.88461538
SVN,HRWKD,TOT,HR_WKD,A,2015,1687.3,52,37.78846154
SVN,HRWKD,TOT,HR_WKD,A,2016,1652.4,52,32.44807692
SVN,HRWKD,TOT,HR_WKD,A,2017,1621.5,52,31.77692308
SVN,HRWKD,TOT,HR_WKD,A,2018,1598.7,52,31.18269231
SVN,HRWKD,TOT,HR_WKD,A,2019,1592.9,52,30.74423077
OECD,HRWKD,TOT,HR_WKD,A,2015,1745,52,30.63269231
OECD,HRWKD,TOT,HR_WKD,A,2016,1745,52,33.55769231
OECD,HRWKD,TOT,HR_WKD,A,2017,1739,52,33.55769231
OECD,HRWKD,TOT,HR_WKD,A,2018,1735,52,33.44230769
OECD,HRWKD,TOT,HR_WKD,A,2019,1726,52,33.36538462
LVA,HRWKD,TOT,HR_WKD,A,2015,1694,52,33.19230769
LVA,HRWKD,TOT,HR_WKD,A,2016,1694,52,32.57692308
LVA,HRWKD,TOT,HR_WKD,A,2017,1680,52,32.57692308
LVA,HRWKD,TOT,HR_WKD,A,2018,1692,52,32.30769231
LVA,HRWKD,TOT,HR_WKD,A,2019,1661,52,32.53846154
LTU,HRWKD,TOT,HR_WKD,A,2015,1643,52,31.94230769
LTU,HRWKD,TOT,HR_WKD,A,2016,1664,52,31.59615385
LTU,HRWKD,TOT,HR_WKD,A,2017,1627,52,32
LTU,HRWKD,TOT,HR_WKD,A,2018,1634,52,31.28846154
LTU,HRWKD,TOT,HR_WKD,A,2019,1635,52,31.42307692
CRI,HRWKD,TOT,HR_WKD,A,2015,2148.2,52,31.44230769
CRI,HRWKD,TOT,HR_WKD,A,2016,2204.7,52,41.31153846
CRI,HRWKD,TOT,HR_WKD,A,2017,2178.9,52,42.39807692
CRI,HRWKD,TOT,HR_WKD,A,2018,2121,52,41.90192308
CRI,HRWKD,TOT,HR_WKD,A,2019,2059.6,52,40.78846154
